date,interested
12-12,62
13-02,126
13-05,211
13-06,210
13-07,241
13-08,677
13-09,18
13-09,120
13-11,77
13-12,4
14-01,66
14-02,214
14-02,116
14-03,346
14-03,13
14-03,2
14-04,43
14-04,255
14-05,131
14-06,141
14-07,2
14-07,53
14-07,50
14-07,81
14-08,94
14-08,74
14-09,18
14-09,113
14-10,141
14-11,160
14-11,49
14-11,233
15-01,3
15-02,167
15-03,163
15-03,41
15-03,57
15-03,71
15-04,25
15-04,41
15-04,51
15-04,176
15-04,36
15-04,54
15-05,65
15-05,22
15-05,44
15-05,16
15-06,21
15-06,91
15-06,8
15-06,46
15-06,118
15-06,4
15-06,13
15-06,8
15-06,47
15-07,23
15-07,3
15-07,2209
15-07,4
15-07,17
15-07,23
15-07,64
15-07,2
15-08,20
15-08,48
15-08,18
15-08,69
15-09,35
15-09,433
15-09,23
15-09,13
15-09,17
15-09,8
15-09,57
15-10,14
15-10,37
15-10,5
15-10,53
15-10,17
15-10,40
15-10,37
15-10,15
15-11,207
15-11,205
15-11,27
15-11,59
15-11,48
15-11,71
15-11,931
15-12,33
15-12,188
15-12,62
15-12,677
15-12,122
16-01,17
16-01,577
16-01,9
16-01,57
16-01,15
16-01,2246
16-01,26
16-01,28
16-01,18
16-01,1136
16-01,19
16-02,30
16-02,52
16-02,28
16-02,25
16-02,226
16-02,192
16-02,727
16-02,595
16-02,13
16-02,17
16-02,3005
16-02,98
16-02,53
16-02,1547
16-03,14
16-03,140
16-03,1293
16-03,8
16-03,143
16-03,483
16-03,84
16-03,1268
16-04,17
16-04,19
16-04,45
16-04,19
16-04,7
16-04,170
16-04,845
16-04,46
16-04,7
16-04,37
16-04,6
16-04,449
16-04,379
16-04,8
16-04,110
16-04,1045
16-04,1283
16-05,20
16-05,20
16-05,281
16-05,558
16-05,173
16-05,1106
16-05,28
16-05,25
16-05,32
16-05,1708
16-05,56
16-05,103
16-06,116
16-06,187
16-06,131
16-06,2606
16-06,28
16-06,1634
16-06,66
16-06,579
16-06,386
16-06,105
16-06,27
16-06,303
16-06,198
16-06,107
16-06,24
16-07,111
16-07,179
16-07,39
16-07,747
16-07,28
16-07,93
16-07,47
16-07,111
16-07,8
16-07,163
16-07,411
16-07,13
16-07,47
16-07,181
16-07,26
16-07,45
16-07,5001
16-07,74
16-07,11
16-07,17
16-07,244
16-07,162
16-07,21
16-07,22
16-07,65
16-07,127
16-07,134
16-07,14
16-07,122
16-07,225
16-07,38
16-07,21
16-07,913
16-07,23
16-07,35
16-07,136
16-07,21
16-07,495
16-07,91
16-07,24
16-07,278
16-07,474
16-07,61
16-07,16
16-08,25
16-08,76
16-08,45
16-08,105
16-08,319
16-08,652
16-08,20
16-08,51
16-08,56
16-08,1104
16-08,175
16-08,25
16-08,68
16-08,347
16-08,611
16-08,71
16-08,45
16-08,900
16-08,35
16-08,127
16-08,30
16-08,31
16-08,78
16-08,11
16-08,256
16-08,117
16-08,32
16-08,339
16-08,82
16-08,443
16-08,27
16-08,178
16-08,10
16-08,23
16-08,82
16-08,16
16-08,19
16-08,35
16-08,143
16-08,32
16-08,40
16-09,25
16-09,31
16-09,81
16-09,14
16-09,160
16-09,245
16-09,49
16-09,6
16-09,82
16-09,24
16-09,250
16-09,40
16-09,66
16-09,36
16-09,165
16-09,29
16-09,4
16-09,15
16-09,410
16-09,10
16-09,160
16-09,33
16-09,97
16-09,1380
16-09,11
16-09,24
16-09,18
16-09,226
16-09,75
16-09,149
16-09,17
16-09,776
16-09,139
16-09,45
16-09,7
16-09,247
16-09,26
16-09,142
16-09,26
16-09,27
16-09,63
16-09,15
16-09,46
16-09,5
16-09,1731
16-09,2
16-09,26
16-09,555
16-09,60
16-09,80
16-09,261
16-09,8
16-09,78
16-09,11
16-09,119
16-09,41
16-09,47
16-09,55
16-09,43
16-09,824
16-09,98
16-10,194
16-10,29
16-10,337
16-10,55
16-10,147
16-10,60
16-10,61
16-10,9
16-10,175
16-10,76
16-10,84
16-10,296
16-10,455
16-10,49
16-10,249
16-10,34
16-10,914
16-10,185
16-10,27
16-10,31
16-10,23
16-10,11
16-10,26
16-10,50
16-10,98
16-10,103
16-10,27
16-10,69
16-10,22
16-10,26
16-10,29
16-10,50
16-10,63
16-10,350
16-10,119
16-10,13
16-10,370
16-10,45
16-10,30
16-10,31
